lead_id,timestamp,channel,variant,device,time_spent_sec,converted,lead_quality_score,ad_spend_cpc
LD-10044,2026-06-01 00:40:44.366231254,Organic,VarB_Interactive,Mobile,3.4,0,0,0.0
LD-10045,2026-06-01 00:40:45.332373699,Paid Social,VarA_ShortForm,Mobile,14.4,0,0,2.7
LD-10046,2026-06-01 00:42:50.912705273,Paid Social,VarA_ShortForm,Mobile,15.7,0,0,2.74
LD-10047,2026-06-01 00:43:09.387955915,Organic,VarA_ShortForm,Desktop,3.3,0,0,0.0
LD-10048,2026-06-01 00:44:22.343279154,Paid Social,Control,Mobile,8.9,0,0,2.25
LD-10049,2026-06-01 00:47:09.274331504,Organic,VarB_Interactive,Mobile,9.4,0,0,0.0
LD-10050,2026-06-01 00:48:02.548156517,Paid Search,VarA_ShortForm,Desktop,9.6,0,0,4.1
LD-10051,2026-06-01 00:49:30.304028440,Paid Social,Control,Mobile,8.1,0,0,2.35
LD-10052,2026-06-01 00:51:59.767252174,Paid Search,Control,Mobile,5.8,0,0,2.47
LD-10053,2026-06-01 00:53:32.461986445,Paid Social,VarA_ShortForm,Desktop,8.0,0,0,1.44
LD-10054,2026-06-01 00:53:41.541457375,Paid Search,Control,Desktop,12.2,0,0,3.13
LD-10055,2026-06-01 00:53:42.993540936,Paid Search,VarB_Interactive,Mobile,29.4,0,0,2.64
LD-10056,2026-06-01 00:54:00.330527951,Paid Search,Control,Desktop,12.9,0,0,2.43
LD-10057,2026-06-01 00:55:29.230965469,Paid Search,VarB_Interactive,Desktop,6.6,0,0,4.43
LD-10058,2026-06-01 00:55:58.920731328,Paid Search,VarA_ShortForm,Mobile,12.8,0,0,3.06
LD-10059,2026-06-01 00:57:01.100407382,Email Direct,VarB_Interactive,Mobile,3.0,0,0,0.0
LD-10060,2026-06-01 00:57:36.793560132,Paid Search,VarB_Interactive,Desktop,4.3,0,0,2.74
LD-10061,2026-06-01 00:58:28.597854493,Paid Social,VarB_Interactive,Desktop,5.3,0,0,1.4
LD-10062,2026-06-01 00:58:50.102960608,Paid Search,VarA_ShortForm,Mobile,26.9,0,0,2.47
LD-10063,2026-06-01 01:00:10.252993599,Paid Search,VarA_ShortForm,Mobile,8.6,0,0,2.88
LD-10064,2026-06-01 01:01:16.026587108,Organic,VarA_ShortForm,Mobile,9.8,0,0,0.0
LD-10065,2026-06-01 01:01:35.487721284,Email Direct,VarB_Interactive,Desktop,9.4,0,0,0.0
LD-10066,2026-06-01 01:01:42.265261226,Email Direct,Control,Desktop,8.1,0,0,0.0
LD-10067,2026-06-01 01:02:18.311961009,Paid Social,VarA_ShortForm,Mobile,13.6,0,0,2.49
LD-10068,2026-06-01 01:02:24.055652512,Paid Search,VarB_Interactive,Mobile,7.1,0,0,3.94
LD-10069,2026-06-01 01:02:31.195590430,Paid Search,Control,Mobile,11.4,0,0,3.32
LD-10070,2026-06-01 01:02:39.220604201,Paid Social,VarA_ShortForm,Mobile,14.7,0,0,2.39
LD-10071,2026-06-01 01:03:17.262035341,Email Direct,VarA_ShortForm,Desktop,3.4,0,0,0.0
LD-10072,2026-06-01 01:03:40.146847719,Organic,Control,Mobile,48.7,1,78,0.0
LD-10073,2026-06-01 01:05:49.932945594,Paid Search,VarA_ShortForm,Mobile,5.2,0,0,2.73
LD-10074,2026-06-01 01:07:36.752656297,Paid Search,VarA_ShortForm,Desktop,21.3,0,0,3.33
LD-10075,2026-06-01 01:08:43.422328885,Paid Search,Control,Mobile,3.0,0,0,3.85
LD-10076,2026-06-01 01:11:23.249263989,Email Direct,Control,Desktop,4.6,0,0,0.0
LD-10077,2026-06-01 01:13:36.322282417,Paid Search,VarA_ShortForm,Mobile,6.2,0,0,3.05
LD-10078,2026-06-01 01:13:39.441653871,Paid Social,VarB_Interactive,Desktop,9.7,0,0,2.44
LD-10079,2026-06-01 01:14:30.738908707,Organic,VarB_Interactive,Desktop,27.7,0,0,0.0
LD-10080,2026-06-01 01:16:32.897823917,Email Direct,VarA_ShortForm,Desktop,10.5,0,0,0.0
LD-10081,2026-06-01 01:19:40.469452082,Paid Search,Control,Desktop,15.6,0,0,4.15
LD-10082,2026-06-01 01:20:05.455200102,Paid Search,VarB_Interactive,Mobile,45.7,0,0,3.76
LD-10083,2026-06-01 01:20:29.894794446,Email Direct,VarB_Interactive,Desktop,12.3,0,0,0.0
LD-10084,2026-06-01 01:20:45.342575826,Paid Social,VarA_ShortForm,Mobile,7.2,0,0,2.31
LD-10085,2026-06-01 01:20:54.152238484,Email Direct,Control,Mobile,16.8,0,0,0.0
LD-10086,2026-06-01 01:24:45.551461996,Paid Search,VarA_ShortForm,Desktop,8.4,0,0,4.0
LD-10087,2026-06-01 01:26:03.614487830,Organic,Control,Desktop,15.4,0,0,0.0
LD-10088,2026-06-01 01:27:04.368067770,Email Direct,Control,Desktop,11.1,0,0,0.0
LD-10089,2026-06-01 01:27:27.947185975,Organic,Control,Mobile,15.6,0,0,0.0
LD-10090,2026-06-01 01:28:51.797728433,Paid Search,Control,Mobile,13.8,0,0,4.45
LD-10091,2026-06-01 01:29:53.016744932,Paid Search,VarB_Interactive,Mobile,50.4,0,0,2.65
LD-10092,2026-06-01 01:29:55.280010993,Paid Search,VarB_Interactive,Desktop,37.3,0,0,2.99
LD-10093,2026-06-01 01:32:29.262943471,Organic,VarB_Interactive,Desktop,7.5,0,0,0.0
LD-10094,2026-06-01 01:33:18.989889412,Paid Search,VarB_Interactive,Desktop,57.2,1,91,4.38
LD-10095,2026-06-01 01:33:54.447561874,Paid Search,Control,Desktop,19.8,0,0,2.66
LD-10096,2026-06-01 01:35:55.074650426,Paid Search,VarA_ShortForm,Mobile,4.2,0,0,2.66
LD-10097,2026-06-01 01:35:59.017910444,Email Direct,VarA_ShortForm,Mobile,15.2,0,0,0.0
LD-10098,2026-06-01 01:36:47.306207020,Organic,Control,Mobile,55.0,1,68,0.0
LD-10099,2026-06-01 01:37:19.916837905,Email Direct,VarA_ShortForm,Desktop,15.7,0,0,0.0
LD-10100,2026-06-01 01:41:24.652264438,Paid Social,Control,Mobile,4.0,0,0,2.46
LD-10101,2026-06-01 01:46:02.288062444,Organic,VarB_Interactive,Mobile,11.4,0,0,0.0
LD-10102,2026-06-01 01:47:48.215733349,Paid Search,Control,Mobile,18.3,0,0,4.25
LD-10103,2026-06-01 01:48:22.744391233,Organic,Control,Mobile,10.6,0,0,0.0
LD-10104,2026-06-01 01:48:56.406333709,Paid Social,Control,Mobile,25.8,0,0,1.46
LD-10105,2026-06-01 01:49:11.409164307,Paid Social,VarA_ShortForm,Mobile,22.4,0,0,1.69
LD-10106,2026-06-01 01:49:16.196492029,Paid Search,Control,Desktop,9.5,0,0,3.13
LD-10107,2026-06-01 01:53:41.221303688,Paid Search,Control,Desktop,9.3,0,0,2.86
LD-10108,2026-06-01 01:53:42.547262292,Paid Search,VarA_ShortForm,Mobile,4.3,0,0,3.99
LD-10109,2026-06-01 01:54:57.580581172,Paid Search,VarB_Interactive,Mobile,6.8,0,0,3.28
LD-10110,2026-06-01 01:55:23.214808983,Paid Social,Control,Mobile,6.4,0,0,2.85
LD-10111,2026-06-01 01:57:52.905777736,Paid Search,Control,Desktop,38.1,0,0,3.52
LD-10112,2026-06-01 01:58:50.580475763,Paid Search,VarA_ShortForm,Desktop,6.7,0,0,3.82
LD-10113,2026-06-01 01:59:13.008925688,Organic,Control,Mobile,6.3,0,0,0.0
LD-10114,2026-06-01 02:03:24.055302136,Organic,Control,Mobile,8.4,0,0,0.0
LD-10115,2026-06-01 02:06:45.077824537,Organic,Control,Mobile,4.3,0,0,0.0
LD-10116,2026-06-01 02:08:10.359282251,Paid Social,VarB_Interactive,Mobile,8.3,0,0,1.96
LD-10117,2026-06-01 02:08:44.498987801,Email Direct,VarA_ShortForm,Mobile,5.0,0,0,0.0
LD-10118,2026-06-01 02:09:56.633773389,Email Direct,VarA_ShortForm,Mobile,5.2,0,0,0.0
LD-10119,2026-06-01 02:10:30.098555169,Paid Social,VarB_Interactive,Mobile,17.7,0,0,1.5
LD-10120,2026-06-01 02:11:05.237124376,Paid Search,VarB_Interactive,Mobile,6.1,0,0,3.88
LD-10121,2026-06-01 02:13:06.984314047,Paid Search,Control,Desktop,20.4,0,0,2.43
LD-10122,2026-06-01 02:13:50.110810650,Paid Search,VarB_Interactive,Desktop,17.9,0,0,2.7
LD-10123,2026-06-01 02:14:23.394799445,Email Direct,VarB_Interactive,Mobile,26.6,0,0,0.0
LD-10124,2026-06-01 02:14:51.320315813,Paid Social,VarB_Interactive,Desktop,9.8,0,0,2.5
LD-10125,2026-06-01 02:16:49.678246733,Paid Social,VarB_Interactive,Mobile,25.1,0,0,1.62
LD-10126,2026-06-01 02:18:41.329848453,Paid Search,Control,Desktop,7.1,0,0,4.24
LD-10127,2026-06-01 02:19:01.739262290,Paid Search,Control,Mobile,18.8,0,0,4.38
LD-10128,2026-06-01 02:20:18.630053831,Email Direct,VarA_ShortForm,Desktop,19.6,0,0,0.0
LD-10129,2026-06-01 02:21:18.238458600,Paid Social,Control,Mobile,13.6,0,0,2.23
LD-10130,2026-06-01 02:21:44.686394699,Paid Social,Control,Mobile,6.1,0,0,1.41
LD-10131,2026-06-01 02:21:49.329387054,Paid Search,VarB_Interactive,Mobile,40.8,0,0,3.66
LD-10132,2026-06-01 02:23:16.897817504,Paid Social,Control,Mobile,10.7,0,0,2.16
LD-10133,2026-06-01 02:25:11.336631560,Organic,VarB_Interactive,Mobile,12.0,0,0,0.0
LD-10134,2026-06-01 02:25:15.284613051,Organic,Control,Desktop,22.2,0,0,0.0
LD-10135,2026-06-01 02:25:25.797113595,Paid Search,VarA_ShortForm,Mobile,9.1,0,0,3.36
LD-10136,2026-06-01 02:25:57.970927404,Paid Social,Control,Mobile,38.0,0,0,2.21
LD-10137,2026-06-01 02:26:11.293199749,Paid Search,VarB_Interactive,Desktop,24.6,0,0,3.04
LD-10138,2026-06-01 02:26:21.301971000,Paid Social,VarA_ShortForm,Mobile,18.8,0,0,1.32
LD-10139,2026-06-01 02:26:36.336172918,Paid Social,VarA_ShortForm,Mobile,3.4,0,0,2.14
LD-10140,2026-06-01 02:29:50.246359140,Paid Search,VarB_Interactive,Mobile,13.5,0,0,3.8
LD-10141,2026-06-01 02:30:46.354368135,Email Direct,Control,Mobile,7.6,0,0,0.0
LD-10142,2026-06-01 02:31:06.702906636,Paid Social,Control,Desktop,6.0,0,0,2.04
LD-10143,2026-06-01 02:31:24.087872503,Organic,VarB_Interactive,Mobile,10.4,0,0,0.0
LD-10144,2026-06-01 02:31:30.537493320,Paid Search,VarB_Interactive,Mobile,8.8,0,0,3.17
LD-10145,2026-06-01 02:31:34.044108381,Paid Search,Control,Mobile,6.5,0,0,3.81
LD-10146,2026-06-01 02:31:40.125560406,Paid Social,VarA_ShortForm,Mobile,7.0,0,0,2.1
LD-10147,2026-06-01 02:33:18.986913487,Paid Social,VarB_Interactive,Mobile,47.4,1,78,2.84
LD-10148,2026-06-01 02:34:04.193505509,Paid Social,VarB_Interactive,Mobile,6.3,0,0,1.48
LD-10149,2026-06-01 02:35:42.189790440,Organic,Control,Mobile,4.2,0,0,0.0
LD-10150,2026-06-01 02:36:12.313711903,Paid Social,VarB_Interactive,Mobile,7.2,0,0,1.96
LD-10151,2026-06-01 02:37:32.253617880,Paid Social,Control,Desktop,14.3,0,0,2.14
LD-10152,2026-06-01 02:37:57.159005330,Organic,VarA_ShortForm,Desktop,9.6,0,0,0.0
LD-10153,2026-06-01 02:40:02.832066646,Paid Social,Control,Mobile,3.7,0,0,2.15
LD-10154,2026-06-01 02:40:41.360840409,Paid Search,Control,Mobile,8.3,0,0,3.92
LD-10155,2026-06-01 02:41:47.285491650,Email Direct,VarA_ShortForm,Desktop,5.7,0,0,0.0
LD-10156,2026-06-01 02:43:13.056047412,Paid Social,Control,Mobile,10.1,0,0,1.82
LD-10157,2026-06-01 02:43:32.621575172,Paid Search,VarB_Interactive,Mobile,14.5,0,0,3.34
LD-10158,2026-06-01 02:45:01.239531047,Paid Search,VarA_ShortForm,Desktop,9.8,0,0,4.25
LD-10159,2026-06-01 02:45:15.629765915,Paid Search,VarB_Interactive,Desktop,16.0,0,0,3.35
LD-10160,2026-06-01 02:45:28.112976836,Paid Search,Control,Mobile,4.0,0,0,4.15
LD-10161,2026-06-01 02:48:26.319751565,Organic,Control,Mobile,12.6,0,0,0.0
LD-10162,2026-06-01 02:49:16.427873233,Paid Search,Control,Desktop,27.5,0,0,2.83
LD-10163,2026-06-01 02:49:36.339716175,Paid Search,VarB_Interactive,Desktop,11.6,0,0,3.58
LD-10164,2026-06-01 02:49:44.801126388,Paid Social,Control,Mobile,24.9,0,0,2.32
LD-10165,2026-06-01 02:53:53.522789492,Email Direct,Control,Desktop,3.3,0,0,0.0
LD-10166,2026-06-01 02:55:25.039655581,Email Direct,VarB_Interactive,Mobile,9.8,0,0,0.0
LD-10167,2026-06-01 02:56:14.340953656,Paid Search,VarB_Interactive,Desktop,59.2,0,0,2.87
LD-10168,2026-06-01 02:57:10.959514993,Organic,VarA_ShortForm,Mobile,10.6,0,0,0.0
LD-10169,2026-06-01 02:57:41.314838940,Paid Social,Control,Mobile,34.2,0,0,1.73
LD-10170,2026-06-01 02:58:17.584916573,Paid Social,VarB_Interactive,Mobile,21.5,0,0,2.63
LD-10171,2026-06-01 03:00:53.853883666,Email Direct,VarA_ShortForm,Desktop,23.3,0,0,0.0
LD-10172,2026-06-01 03:01:19.040872825,Paid Search,VarB_Interactive,Desktop,6.3,0,0,3.15
LD-10173,2026-06-01 03:01:41.747965572,Organic,Control,Mobile,30.4,0,0,0.0
LD-10174,2026-06-01 03:04:41.123119992,Paid Social,Control,Mobile,11.3,0,0,2.22
LD-10175,2026-06-01 03:04:58.316311180,Organic,Control,Desktop,22.0,0,0,0.0
LD-10176,2026-06-01 03:07:11.956323371,Paid Search,Control,Desktop,14.7,0,0,3.88
LD-10177,2026-06-01 03:07:34.276756372,Organic,VarB_Interactive,Mobile,20.0,0,0,0.0
LD-10178,2026-06-01 03:07:45.619469331,Paid Social,Control,Mobile,6.9,0,0,1.8
LD-10179,2026-06-01 03:08:20.031247456,Paid Social,VarB_Interactive,Mobile,8.2,0,0,1.49
LD-10180,2026-06-01 03:08:29.594933601,Paid Social,VarA_ShortForm,Desktop,30.0,0,0,2.87
LD-10181,2026-06-01 03:08:48.711285343,Organic,VarB_Interactive,Mobile,4.7,0,0,0.0
LD-10182,2026-06-01 03:08:56.576229738,Paid Social,VarA_ShortForm,Mobile,21.5,0,0,1.56
LD-10183,2026-06-01 03:08:57.362077560,Paid Social,Control,Mobile,5.1,0,0,2.63
LD-10184,2026-06-01 03:10:08.970537814,Email Direct,VarB_Interactive,Mobile,3.3,0,0,0.0
LD-10185,2026-06-01 03:10:31.067276964,Paid Search,Control,Desktop,16.4,0,0,4.23
LD-10186,2026-06-01 03:13:30.804175882,Paid Search,VarB_Interactive,Desktop,7.1,0,0,3.86
LD-10187,2026-06-01 03:13:36.549099770,Email Direct,VarA_ShortForm,Mobile,18.0,0,0,0.0
LD-10188,2026-06-01 03:18:12.172281836,Paid Search,Control,Mobile,42.5,1,74,3.2
LD-10189,2026-06-01 03:18:44.614521492,Email Direct,Control,Mobile,20.1,0,0,0.0
LD-10190,2026-06-01 03:19:08.954042451,Paid Social,VarA_ShortForm,Mobile,19.0,1,87,2.32
LD-10191,2026-06-01 03:19:18.285272914,Paid Social,Control,Mobile,4.2,0,0,2.31
LD-10192,2026-06-01 03:20:06.203627930,Paid Search,Control,Mobile,21.2,0,0,4.24
LD-10193,2026-06-01 03:20:38.500156290,Email Direct,VarA_ShortForm,Desktop,7.0,0,0,0.0
LD-10194,2026-06-01 03:21:07.267421099,Email Direct,Control,Desktop,15.4,0,0,0.0
LD-10195,2026-06-01 03:26:08.242331020,Paid Social,VarB_Interactive,Mobile,17.5,0,0,1.76
LD-10196,2026-06-01 03:27:21.145926624,Paid Search,VarB_Interactive,Desktop,4.5,0,0,3.98
LD-10197,2026-06-01 03:29:12.223354421,Paid Search,VarB_Interactive,Desktop,7.4,0,0,4.47
LD-10198,2026-06-01 03:33:24.430581989,Email Direct,VarB_Interactive,Mobile,29.7,0,0,0.0
LD-10199,2026-06-01 03:34:07.486099078,Paid Social,Control,Mobile,27.5,0,0,2.01
LD-10200,2026-06-01 03:35:55.991958458,Paid Search,Control,Desktop,49.8,1,66,3.26
LD-10201,2026-06-01 03:37:06.104722888,Email Direct,Control,Desktop,17.2,0,0,0.0
LD-10202,2026-06-01 03:38:39.625329398,Organic,VarA_ShortForm,Desktop,16.0,0,0,0.0
LD-10203,2026-06-01 03:38:53.960776903,Paid Search,VarA_ShortForm,Desktop,23.1,0,0,2.86
LD-10204,2026-06-01 03:39:50.772054108,Email Direct,VarA_ShortForm,Desktop,3.7,0,0,0.0
LD-10205,2026-06-01 03:45:10.847892189,Organic,Control,Desktop,10.2,0,0,0.0
LD-10206,2026-06-01 03:45:55.158303229,Organic,VarB_Interactive,Mobile,3.2,0,0,0.0
LD-10207,2026-06-01 03:49:32.528932352,Paid Search,Control,Desktop,5.1,0,0,2.77
LD-10208,2026-06-01 03:50:00.301960198,Paid Search,Control,Mobile,10.0,0,0,4.4
LD-10209,2026-06-01 03:50:32.365902167,Organic,VarB_Interactive,Mobile,40.9,1,70,0.0
LD-10210,2026-06-01 03:50:39.055985432,Paid Search,Control,Desktop,12.4,0,0,3.2
LD-10211,2026-06-01 03:50:57.684778210,Paid Social,VarB_Interactive,Mobile,5.1,0,0,2.58
LD-10212,2026-06-01 03:51:04.578695425,Paid Social,Control,Mobile,10.7,0,0,1.66
LD-10213,2026-06-01 03:51:13.345279976,Paid Social,VarA_ShortForm,Mobile,10.2,0,0,2.1
LD-10214,2026-06-01 03:51:31.317589545,Paid Search,VarB_Interactive,Desktop,29.7,0,0,3.17
LD-10215,2026-06-01 03:52:35.295890093,Organic,Control,Mobile,23.7,0,0,0.0
LD-10216,2026-06-01 03:55:54.769522511,Paid Search,VarB_Interactive,Desktop,9.0,0,0,3.57
LD-10217,2026-06-01 03:56:00.936434948,Paid Social,VarB_Interactive,Mobile,13.1,0,0,2.61
LD-10218,2026-06-01 03:57:51.031423810,Paid Social,VarB_Interactive,Mobile,3.2,0,0,1.62
LD-10219,2026-06-01 03:58:31.672017960,Paid Search,Control,Mobile,14.0,0,0,3.15
LD-10220,2026-06-01 03:58:33.327584377,Paid Search,VarA_ShortForm,Desktop,18.2,0,0,3.8
LD-10221,2026-06-01 04:00:34.486736529,Organic,Control,Desktop,6.0,0,0,0.0
LD-10222,2026-06-01 04:00:37.454524403,Paid Social,VarA_ShortForm,Mobile,9.5,0,0,2.57
LD-10223,2026-06-01 04:01:12.511517347,Paid Social,Control,Mobile,4.7,0,0,1.55
LD-10224,2026-06-01 04:01:40.052045805,Email Direct,VarB_Interactive,Mobile,16.6,0,0,0.0
LD-10225,2026-06-01 04:02:39.909396183,Paid Search,Control,Desktop,12.0,0,0,2.68
LD-10226,2026-06-01 04:02:54.521215371,Email Direct,VarB_Interactive,Desktop,16.3,0,0,0.0
LD-10227,2026-06-01 04:03:16.362642955,Paid Search,VarA_ShortForm,Desktop,16.7,0,0,2.59
LD-10228,2026-06-01 04:03:21.457564543,Email Direct,VarA_ShortForm,Mobile,3.8,0,0,0.0
LD-10229,2026-06-01 04:04:10.255748350,Paid Search,VarA_ShortForm,Mobile,21.3,1,75,3.53
LD-10230,2026-06-01 04:05:09.892514221,Email Direct,Control,Desktop,21.8,0,0,0.0
LD-10231,2026-06-01 04:05:43.875388145,Paid Social,VarB_Interactive,Mobile,17.9,0,0,1.78
LD-10232,2026-06-01 04:07:08.654556772,Paid Search,VarB_Interactive,Mobile,6.2,0,0,2.42
LD-10233,2026-06-01 04:08:32.455941997,Paid Search,VarB_Interactive,Desktop,9.6,0,0,4.46
LD-10234,2026-06-01 04:08:46.448011131,Paid Search,VarA_ShortForm,Mobile,3.2,0,0,3.79
LD-10235,2026-06-01 04:09:17.554071373,Organic,VarA_ShortForm,Mobile,21.6,1,78,0.0
LD-10236,2026-06-01 04:10:43.368840903,Paid Search,VarB_Interactive,Desktop,47.2,1,77,2.74
LD-10237,2026-06-01 04:11:27.280581539,Paid Social,VarA_ShortForm,Mobile,31.9,0,0,1.4
LD-10238,2026-06-01 04:12:17.061582522,Paid Search,VarB_Interactive,Mobile,23.6,0,0,4.42
LD-10239,2026-06-01 04:12:21.427514954,Organic,Control,Mobile,12.2,0,0,0.0
LD-10240,2026-06-01 04:13:21.374683522,Paid Social,VarA_ShortForm,Mobile,12.4,0,0,2.42
LD-10241,2026-06-01 04:14:10.518427701,Paid Search,VarB_Interactive,Mobile,22.8,0,0,3.85
LD-10242,2026-06-01 04:15:38.260045217,Paid Social,Control,Mobile,36.0,0,0,2.11
LD-10243,2026-06-01 04:16:19.623565778,Organic,VarB_Interactive,Desktop,17.8,0,0,0.0
LD-10244,2026-06-01 04:16:41.031148566,Paid Social,VarA_ShortForm,Mobile,10.5,0,0,2.86
LD-10245,2026-06-01 04:18:06.787161627,Paid Social,VarB_Interactive,Mobile,9.6,0,0,1.49
LD-10246,2026-06-01 04:19:14.026098961,Paid Search,VarB_Interactive,Desktop,5.3,0,0,4.35
LD-10247,2026-06-01 04:19:31.855596814,Paid Search,VarB_Interactive,Mobile,6.9,0,0,2.92
LD-10248,2026-06-01 04:20:09.128634909,Paid Search,VarA_ShortForm,Desktop,21.1,1,73,3.97
LD-10249,2026-06-01 04:21:02.670256109,Paid Social,VarA_ShortForm,Mobile,9.3,0,0,2.53
LD-10250,2026-06-01 04:21:13.935932872,Email Direct,VarB_Interactive,Mobile,4.1,0,0,0.0
LD-10251,2026-06-01 04:22:15.054333401,Organic,Control,Mobile,11.0,0,0,0.0
LD-10252,2026-06-01 04:22:58.880288729,Email Direct,VarB_Interactive,Desktop,8.2,0,0,0.0
LD-10253,2026-06-01 04:23:20.585713005,Paid Search,Control,Mobile,7.5,0,0,2.81
LD-10254,2026-06-01 04:23:34.857805714,Email Direct,VarA_ShortForm,Desktop,21.8,0,0,0.0
LD-10255,2026-06-01 04:24:45.453837060,Paid Social,Control,Desktop,3.9,0,0,2.34
LD-10256,2026-06-01 04:27:08.468285204,Paid Social,VarB_Interactive,Mobile,3.6,0,0,2.06
LD-10257,2026-06-01 04:31:32.134891388,Paid Social,VarB_Interactive,Mobile,7.5,0,0,1.67
LD-10258,2026-06-01 04:32:22.420859316,Paid Search,VarB_Interactive,Desktop,5.4,0,0,3.87
LD-10259,2026-06-01 04:33:06.856094549,Paid Search,Control,Desktop,60.9,1,85,3.25
LD-10260,2026-06-01 04:35:34.480509883,Paid Social,VarB_Interactive,Mobile,8.6,0,0,1.36
LD-10261,2026-06-01 04:35:52.179490032,Paid Search,Control,Desktop,28.1,0,0,3.51
LD-10262,2026-06-01 04:36:32.485454113,Paid Social,Control,Mobile,11.4,0,0,2.48
